assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
11201081,54768,Duttaphrynus stomaticus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Duttaphrynus,stomaticus,,,,"(Lütken, 1864)",Least Concern,,3.1,Stable,Global
11760496,58301,Hoplobatrachus tigerinus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,DICROGLOSSIDAE,Hoplobatrachus,tigerinus,,,,"(Daudin, 1802)",Least Concern,,3.1,Stable,Global
11781495,58440,Chrysopaa sternosignata,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,DICROGLOSSIDAE,Chrysopaa,sternosignata,,,,"(Murray, 1885)",Least Concern,,3.1,Stable,Global
11825745,58705,Pelophylax ridibundus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RANIDAE,Pelophylax,ridibundus,,,,"(Pallas, 1771)",Least Concern,,3.1,Increasing,Global
11834812,58736,Pelophylax terentievi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RANIDAE,Pelophylax,terentievi,,,,"(Mezhzherin, 1992)",Data Deficient,,3.1,Unknown,Global
74500311,54718,Bufotes oblongus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Bufotes,oblongus,,,,"(Nikolskii, 1896)",Least Concern,,3.1,Stable,Global
74503748,161757,Bufotes pewzowi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Bufotes,pewzowi,,,,"(Bedriaga, 1898)",Least Concern,,3.1,Stable,Global
74505373,54738,Bufotes pseudoraddei,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Bufotes,pseudoraddei,,,,"(Mertens, 1971)",Least Concern,,3.1,Stable,Global
86626211,58260,Euphlyctis cyanophlyctis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,DICROGLOSSIDAE,Euphlyctis,cyanophlyctis,,,,"(Schneider, 1799)",Least Concern,,3.1,Stable,Global
85924042,22678652,Ammoperdix griseogularis,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Ammoperdix,griseogularis,,,,"(Brandt, 1843)",Least Concern,,3.1,Stable,Global
85926819,45100023,Phasianus colchicus,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Phasianus,colchicus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
85946855,22679839,Cygnus olor,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Cygnus,olor,,,,"(Gmelin, 1789)",Least Concern,,3.1,Increasing,Global
85965262,22679856,Cygnus cygnus,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Cygnus,cygnus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Unknown,Global
85980652,22679881,Anser albifrons,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Anser,albifrons,,,,"(Scopoli, 1769)",Least Concern,,3.1,Unknown,Global
85991357,22680465,Mergellus albellus,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Mergellus,albellus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
86011049,22680003,Tadorna ferruginea,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Tadorna,ferruginea,,,,"(Pallas, 1764)",Least Concern,,3.1,Unknown,Global
86012189,22680348,Netta rufina,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Netta,rufina,,,,"(Pallas, 1773)",Least Concern,,3.1,Unknown,Global
86013549,22680391,Aythya fuligula,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Aythya,fuligula,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
